area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,area,auv_count,w1,w2,w3
35000,4,owa,425.965517241379,169,365.596526511186,136.562910672805,1740,29,29,2012.1018245275,0.8,0.2,0,0.540977987916453,0,0.574502180729188,0,0.423642405982696,0.852941176470588,0.852941176470588,0.865671641791045,0.426470588235294,0.210549065045323,0.654657941820528,1.29167759510115,35000,4,0.8,0.2,0
35000,4,owa,424.391304347826,215.827586206897,438.752336345029,178.007036170227,1560,29,23,2048.20468888685,1,0,0,0.535534635197183,0.189202368512713,0.75912709797389,0.174892433591127,0.4494479017365,0.852941176470588,0.676470588235294,0.776119402985075,0.349679178880703,0.145485018087451,0.637980282213442,1.1331444791816,35000,4,1,0,0
35000,4,owa,438.344827586207,171.862068965517,378.769839259945,144.458032496325,1740,29,29,2075.46973236434,0.7667,0.1667,0.0667,0.583783476871698,0.011563915012191,0.60774795822249,0.03331707576505,0.468936326718034,0.852941176470588,0.852941176470588,0.865671641791045,0.416901983085469,0.19872262940504,0.625667420186083,1.24129203267659,35000,4,0.7667,0.1667,0.0667
35000,5,owa,543.04347826087,224.44,396.502146991879,261.748938234077,1440,25,23,1761.75608293586,0.4,0.4,0.2,0.945813090012138,0.224,0.652499371063134,0.528279671703023,0.244701037028575,0.735294117647059,0.676470588235294,0.716417910447761,0.235532922649577,0.11379426144312,0.782938572898474,1.13226575699117,35000,5,0.4,0.4,0.2
35000,5,owa,444.761904761905,277.363636363636,331.489653648783,249.271423200178,1290,22,21,1850.54622255249,0.6,0.2,0.2,0.605972606840805,0.437832874196511,0.488425919745968,0.47562509295979,0.308166183396207,0.647058823529412,0.617647058823529,0.641791044776119,0.185248251111011,0.154900269423003,0.734793197433084,1.0749417179671,35000,5,0.6,0.2,0.2
35000,5,owa,361.909090909091,302.36,276.366545610115,303.702963436316,1410,25,22,1721.53211625465,0.6,0.4,0,0.319482074695008,0.538828282828283,0.34931052640913,0.70532386019771,0.215949872271634,0.735294117647059,0.647058823529412,0.701492537313433,0.164495641305921,0.219202338433135,0.805775692566165,1.18947367230522,35000,5,0.6,0.4,0
35000,5,owa,466.9,328.038461538462,321.495829554681,315.589921356083,1380,26,20,1771.81846877293,0.8,0.2,0,0.682522266297433,0.642579642579643,0.463204287307991,0.755486313226493,0.251893398620918,0.764705882352941,0.588235294117647,0.686567164179104,0.151505972204299,0.141923829944997,0.777327597846313,1.07075739999561,35000,5,0.8,0.2,0
35000,5,owa,473.526315789474,320.833333333333,377.164916540505,309.249254565432,1290,24,19,1569.01930400833,1,0,0,0.70543490677896,0.613468013468013,0.603697579654692,0.728728971086982,0.106937227467331,0.705882352941176,0.558823529411765,0.641791044776119,0.146222821704674,0.118823790825795,0.898582077492776,1.16362869002324,35000,5,1,0,0
35000,5,owa,404.736842105263,416.5,222.492157690823,373.532141682031,1290,24,19,1881.03630169167,0.6667,0.2333,0.1,0.467572944035863,1,0.213346555347917,1,0.329959789574597,0.705882352941176,0.558823529411765,0.641791044776119,0.084143239074436,0.187796061899652,0.718952642242294,1.13908919432164,35000,5,0.6667,0.2333,0.1
35000,6,owa,485.470588235294,265.041666666667,365.389709359585,257.933169498489,1230,24,17,1573.59628977187,0.4,0.4,0.2,0.746736110805373,0.388047138047138,0.573980231760463,0.512177291156244,0.110208751452535,0.705882352941176,0.5,0.611940298507463,0.204003091262327,0.105349568715444,0.895647148137155,1.20499980811493,35000,6,0.4,0.4,0.2
35000,6,owa,426.227272727273,215.85,323.076569402626,211.538045601358,1260,20,22,1419.41007909552,0.6,0.2,0.2,0.541883092582891,0.189292929292929,0.467193635034098,0.316391856483821,0,0.588235294117647,0.647058823529412,0.626865671641791,0.221297444711016,0.172868607690377,1,1.39416605240139,35000,6,0.6,0.2,0.2
35000,6,owa,373.473684210526,239.208333333333,246.047504090177,294.102167868459,1290,24,19,1522.79670472379,0.6,0.4,0,0.359470414679015,0.283670033670034,0.272793698227323,0.664808914324918,0.073898378314123,0.705882352941176,0.558823529411765,0.641791044776119,0.197075873420698,0.193910275152921,0.928766071819785,1.3197522203934,35000,6,0.6,0.4,0
35000,6,owa,433.285714285714,217.625,383.047665814209,273.90506328955,1350,24,21,1482.28595299621,0.8,0.2,0,0.566289948357159,0.196464646464646,0.618544002656446,0.579577998509845,0.044942226212615,0.705882352941176,0.617647058823529,0.671641791044776,0.222475350165067,0.144643152960552,0.956052715023856,1.32317121814948,35000,6,0.8,0.2,0
35000,6,owa,514.777777777778,232.238095238095,421.139149220939,285.175718595028,1170,21,18,1733.07790000792,1,0,0,0.848075243868972,0.255507455507455,0.71467631241651,0.627139680916787,0.224202532521905,0.617647058823529,0.529411764705882,0.582089552238806,0.180741767098055,0.091721737634642,0.79915326345202,1.07161676818472,35000,6,1,0,0
35000,6,owa,410.5,229.363636363636,276.134692534373,231.753881244439,1260,22,20,1425.7972346966,0.6333,0.2667,0.1,0.487500935558716,0.243893480257117,0.348725393731097,0.401701816587013,0.004565391684768,0.647058823529412,0.588235294117647,0.626865671641791,0.222577113934328,0.177841269064836,0.995445013874675,1.39586339687384,35000,6,0.6333,0.2667,0.1
