area,auv_count,w1,w2,w3,n,utility_mean,utility_sd,utility_sem,utility_ci_low,utility_ci_high,priority_latency_mean,priority_latency_sd,priority_latency_sem,priority_latency_ci_low,priority_latency_ci_high,regular_latency_mean,regular_latency_sd,regular_latency_sem,regular_latency_ci_low,regular_latency_ci_high,priority_objects_mean,priority_objects_sd,priority_objects_sem,priority_objects_ci_low,priority_objects_ci_high,regular_objects_mean,regular_objects_sd,regular_objects_sem,regular_objects_ci_low,regular_objects_ci_high,travelled_distance_mean,travelled_distance_sd,travelled_distance_sem,travelled_distance_ci_low,travelled_distance_ci_high
50000,6,10.0,0.0,0.0,1,0.5389933131064175,0.0,,,,397.25,0.0,,,,596.074074074074,0.0,,,,36.0,0.0,,,,27.0,0.0,,,,2525.804108468064,0.0,,,
60000,3,4.0,4.0,2.0,1,0.6834758850125373,0.0,,,,306.280701754386,0.0,,,,431.76271186440675,0.0,,,,57.0,0.0,,,,59.0,0.0,,,,5005.386959161966,0.0,,,
60000,3,6.0,2.0,2.0,1,1.3888481779061803,0.0,,,,290.8833333333333,0.0,,,,446.55172413793105,0.0,,,,60.0,0.0,,,,58.0,0.0,,,,4920.598025658704,0.0,,,
60000,3,6.0,4.0,0.0,1,0.896297143446102,0.0,,,,298.5689655172414,0.0,,,,439.33898305084745,0.0,,,,58.0,0.0,,,,59.0,0.0,,,,4970.607377674933,0.0,,,
60000,3,8.0,2.0,0.0,1,1.3300293911137673,0.0,,,,294.3898305084746,0.0,,,,422.135593220339,0.0,,,,59.0,0.0,,,,59.0,0.0,,,,4950.93627751307,0.0,,,
60000,3,10.0,0.0,0.0,1,1.5045619604722562,0.0,,,,293.271186440678,0.0,,,,425.41379310344826,0.0,,,,59.0,0.0,,,,58.0,0.0,,,,4931.571160751221,0.0,,,
60000,4,4.0,4.0,2.0,1,0.9126186782774379,0.0,,,,334.5272727272727,0.0,,,,543.8,0.0,,,,55.0,0.0,,,,50.0,0.0,,,,4171.109135822527,0.0,,,
60000,4,6.0,2.0,2.0,1,1.0370340054089053,0.0,,,,310.05454545454546,0.0,,,,573.0,0.0,,,,55.0,0.0,,,,52.0,0.0,,,,4102.32092812858,0.0,,,
60000,4,6.0,4.0,0.0,1,1.0155539016030755,0.0,,,,342.8545454545455,0.0,,,,557.5,0.0,,,,55.0,0.0,,,,50.0,0.0,,,,4046.524984786298,0.0,,,
60000,4,8.0,2.0,0.0,1,0.9143930456293659,0.0,,,,338.72727272727275,0.0,,,,553.08,0.0,,,,55.0,0.0,,,,50.0,0.0,,,,4122.1089860697675,0.0,,,
60000,4,10.0,0.0,0.0,1,1.2668401098555306,0.0,,,,348.54545454545456,0.0,,,,545.4615384615385,0.0,,,,55.0,0.0,,,,52.0,0.0,,,,3907.2167035216453,0.0,,,
60000,5,4.0,4.0,2.0,1,1.1787960464453808,0.0,,,,322.40816326530614,0.0,,,,350.6363636363636,0.0,,,,49.0,0.0,,,,33.0,0.0,,,,3113.206378007697,0.0,,,
60000,5,6.0,2.0,2.0,1,1.4207081374048345,0.0,,,,347.875,0.0,,,,528.2926829268292,0.0,,,,48.0,0.0,,,,41.0,0.0,,,,2930.7786683824374,0.0,,,
60000,5,6.0,4.0,0.0,1,0.8231973907140337,0.0,,,,399.38775510204084,0.0,,,,593.3947368421053,0.0,,,,49.0,0.0,,,,38.0,0.0,,,,3037.5898397633014,0.0,,,
60000,5,8.0,2.0,0.0,1,0.6117481418812891,0.0,,,,393.59090909090907,0.0,,,,514.0,0.0,,,,44.0,0.0,,,,40.0,0.0,,,,3177.625886518832,0.0,,,
60000,5,10.0,0.0,0.0,1,1.0025775043458234,0.0,,,,364.27659574468083,0.0,,,,566.2,0.0,,,,47.0,0.0,,,,40.0,0.0,,,,3038.133745070177,0.0,,,
60000,6,4.0,4.0,2.0,1,1.0526854931285792,0.0,,,,396.2564102564103,0.0,,,,698.609756097561,0.0,,,,39.0,0.0,,,,41.0,0.0,,,,2810.1858511240166,0.0,,,
60000,6,6.0,2.0,2.0,1,1.0335755888315026,0.0,,,,388.64102564102564,0.0,,,,687.0487804878048,0.0,,,,39.0,0.0,,,,41.0,0.0,,,,2838.9386197475337,0.0,,,
60000,6,6.0,4.0,0.0,1,1.2322604531671566,0.0,,,,581.9555555555555,0.0,,,,865.3157894736842,0.0,,,,45.0,0.0,,,,38.0,0.0,,,,2582.8433073651922,0.0,,,
60000,6,8.0,2.0,0.0,1,1.1131433736073593,0.0,,,,386.05128205128204,0.0,,,,679.0487804878048,0.0,,,,39.0,0.0,,,,41.0,0.0,,,,2799.0932455633133,0.0,,,
60000,6,10.0,0.0,0.0,1,0.5659201650526611,0.0,,,,571.4090909090909,0.0,,,,858.6756756756756,0.0,,,,44.0,0.0,,,,37.0,0.0,,,,2825.151988053158,0.0,,,
